utr,value_date,posting_date,description,credit_amount,debit_amount,closing_balance,bank_ref_no,transaction_type
gEGTMGGp7qRfgM7lKp1,18-08-2026,19-08-2026,NEFT-SETL-FLIPKART INTERNET-349338419873-setl_BQR34f6tE5aRZQ-BATCH89,344122.15,,276241.68,349338419873,SETTLEMENT
3HivyP4nrGylOJOmtltuzI,24-07-2026,25-07-2026,NEFT-SETL-URBAN COMPANY-298161818736-setl_T8hJKZYNYAF8kl-BATCH14,1531.86,,468067.10,298161818736,SETTLEMENT
vGN0guvnSJymi1dm,04-08-2026,05-08-2026,IMPS-SETL-CUREFIT HEALTHCARE-740017164253-setl_qeAcKIa1oIDuvc-BATCH52,971.40,,630448.99,IBTKCRLY,SETTLEMENT
sWv84fWmMSg5VFLJcDoVYq,29-07-2026,30-07-2026,UPI-SETL-MAKEMYTRIP INDIA-351293381369-setl_KoGReQrA32GAMY-BATCH92,1461.38,,501362.36,351293381369,SETTLEMENT
uJGyan2fuuB6xiUmHbyn,30-07-2026,30-07-2026,UPI-SETL-DELIGHTFUL GOURMET-794103699168-setl_ePBxVfTcOlIhE2-BATCH41,874.66,,533383.48,SMUIHDUS,SETTLEMENT
8UgHZtowOCAM9RMKlf,30-07-2026,30-07-2026,NEFT-SETL-MAKEMYTRIP INDIA-953627233599-setl_OBozwpuesq7own-BATCH88,646.33,,344065.95,LXQMLVYN,SETTLEMENT
2KfUu3jscBRML2wfQ,22-07-2026,22-07-2026,UPI-S,486.47,,233300.61,,SETTLEMENT
kkBjwxSyghhpvypIi,03-08-2026,03-08-2026,UPI-SETL-INNOVATIVE RETAIL CONCEPTS-534282354223-setl_3yNItHZ7zyqoAF-BATCH85,43486.53,,892474.43,PKPSDZAH,SETTLEMENT
0wu8KvnoPkZdLZQfin7ukb,26-07-2026,26-07-2026,NEFT-SETL-BUNDL TECHNOLOGIES-BATCH70,96.40,,916121.89,ZMZIVNZX,SETTLEMENT
X3lIcz3QsFFFYpPFgZXDuN,19-08-2026,19-08-2026,UPI-SETL-MAKEMYTRIP INDIA-494781272476-setl_7zbk054vcLajqT-BATCH12,387.34,,480297.08,VHNOUJTY,SETTLEMENT
6PiML0cuFxTQ04Gm4ooACs,10-08-2026,11-08-2026,UPI-SETL-FLIPKART INTERNET-876686025067-setl_RHCgTVhF51PKTZ-BATCH20,236154.33,,558432.70,876686025067,SETTLEMENT
WlSKkKLDoWT3eXmg8fhkqm,09-08-2026,09-08-2026,NEFT-SETL-THREPSI SOLUTIONS-128273982525-setl_n7NeYK0dUpeHVN-BATCH57,2493.48,,244507.61,PHPUNKGN,SETTLEMENT
SiC6xtUPUQiO7YzSm3,27-07-2026,28-07-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-797273521198-setl_q7ZFHKSYVSZTpX-BATCH67,608.80,,888977.07,797273521198,SETTLEMENT
IJ8oeUdEWBAaRyvNWLp,03-08-2026,03-08-2026,UPI-SETL-ZOMATO LIMITED-408801589881-setl_fJ8Dp1LLcIlJs3-BATCH28,1350.26,,381537.89,408801589881,SETTLEMENT
c6iwvKyeNGlWtAIeMcwIw,24-07-2026,24-07-2026,NEFT-SETL-BIGTREE ENTERTAINMENT-205430308730-setl_m9MgJyz0qX6vkx-BATCH16,4119.71,,230418.01,VRXOZWOP,SETTLEMENT
XytoguBzetHZdlKr4hlX8,17-08-2026,17-08-2026,IMPS-SETL-THREPSI SOLUTIONS-464888052030-setl_eNobMnt1Bk20qg-BATCH47,436.88,,973940.04,464888052030,SETTLEMENT
xzpKQT2U8H1LoyGAG9x,18-08-2026,17-08-2026,UPI-SETL-THREPSI SOLUTIONS-788447946470-setl_S6n3pCN9Fvb1YY-BATCH54,514.53,,838022.22,788447946470,SETTLEMENT
Iso8ejBxtXorYwFj7iuoAj,08-08-2026,08-08-2026,IMPS-SETL-DELIGHTFUL GOURMET-278924921006-setl_OLIcA7DhMBjm0h-BATCH75,7570.07,,832224.97,WFZUVWEM,SETTLEMENT
oKE98U9ObREewjuBxwq,26-07-2026,26-07-2026,IMPS-SETL-CUREFIT HEALTHCARE-BATCH27,9755.25,,686354.21,VMPDRYEL,SETTLEMENT
YeWEiFPvz9voJ5NpFsRUxq,30-07-2026,30-07-2026,NEFT-SETL-INNOVATIVE RETAIL CONCEPTS-855354150095-setl_9k3YYoLXNYYQrM-BATCH34,2448.49,,132735.32,855354150095,SETTLEMENT
qbzQ4pOEXmooVtQP,23-07-2026,23-07-2026,IMPS-SETL-MYNTRA DESIGNS-124767694381-setl_cV93ZbX9tVAsvr-BATCH46,13623.10,,275271.95,124767694381,SETTLEMENT
8YjV53fKzM9dKruxTUnbH,20-08-2026,20-08-2026,IMPS-SETL-LENSKART SOLUTIONS-991894710869-setl_hM9XVBm9tiZX3s-BATCH23,126.76,,957373.70,TIBAHWCP,SETTLEMENT
GvYpcArCJio1UYYntv,09-08-2026,09-08-2026,NEFT-SETL-AMAZON RETAIL-728903445541-setl_tdbrabuORJwHvO-BATCH83,339.54,,942395.01,728903445541,SETTLEMENT
2tCImMTHeu5IifsfoXLeb,21-08-2026,21-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-674140657826-setl_GMxldUOhY5KiNv-BATCH79,43.89,,953116.97,OCYJOTVP,SETTLEMENT
fJGkmhFo5o2foshSTDi,26-07-2026,26-07-2026,NEFT-SETL-BUNDL TECHNOLOGIES-BATCH53,1461.17,,179258.44,401506032272,SETTLEMENT
5IjsGoLmTaAJnmvM1tIaUG,09-08-2026,09-08-2026,IMPS-SETL-DELIGHTFUL GOURMET-834459436913-setl_5CMYQlhz0EAnqN-BATCH97,,67.80,973094.80,BRFCASTX,CHARGEBACK
nGrfMbdFRO7Doi1qPNA,29-07-2026,29-07-2026,NEFT-SETL-FSN E-COMMERCE-609210278594-setl_17eAX6DJootAgd-BATCH86,765.02,,348823.88,609210278594,SETTLEMENT
AuhR6VpXolvaueZfc1h,12-08-2026,12-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-974696549847-setl_WkqPT9FSFMw5fq-BATCH25,1169.92,,890759.54,SMDTDGUV,SETTLEMENT
NtJQgXuy8WCMbQYmP,16-08-2026,16-08-2026,NEFT-SETL-ZOMATO LIMITED-BATCH70,150.89,,392092.12,XBAGDXRI,SETTLEMENT
kHfXWWflilWO5J7fPpHhNY,05-08-2026,05-08-2026,NEFT-SETL-ZOMATO LIMITED-599124087866-setl_A04SiXShQguGbs-BATCH17,3415.69,,149224.84,SCXIVJQG,SETTLEMENT
rBngASTsScswItsABt2,18-08-2026,18-08-2026,NEFT-SETL-BIGTREE ENTERTAINMENT-195991892882-setl_1LRN59zb2yULJ3-BATCH25,143.57,,417113.77,HGFLYVJN,SETTLEMENT
eVT5m89HZBAfFluil9dw,17-08-2026,17-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-BATCH9,969.61,,521112.94,284753378751,SETTLEMENT
HxygCzM9V2ntKymbuo,05-08-2026,05-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-738825744557-setl_dD22yjUTWPvAFi-BATCH11,916.46,,616057.71,738825744557,SETTLEMENT
xAgHyDl5UcK6vfGsv,07-08-2026,07-08-2026,IMPS-SETL-CUREFIT HEALTHCARE-971058006400-setl_okXkvhOOT0ACSH-BATCH67,168.25,,792947.18,CDYJXCXS,SETTLEMENT
zDYcWznl4EGNdV8hxnEWGA,09-08-2026,09-08-2026,IMPS-SETL-LENSKART SOLUTIONS-164290035711-setl_ILV14izS5wnmiz-BATCH4,14624.42,,401316.19,164290035711,SETTLEMENT
9sUTLq1aREu6K2ll5OR,27-07-2026,27-07-2026,IMPS-SETL-FSN E-COMMERCE-BATCH27,3405.07,,237809.36,JBTWXCJS,SETTLEMENT
y1puj7qMYM7cQ0SjZDgziw,16-08-2026,16-08-2026,IMPS-SETL-FLIPKART INTERNET-868772672072-setl_fY0YiBA4vEMkNz-BATCH80,4856.21,,467194.11,FKJIJHHD,SETTLEMENT
A2wMbX0ZkP4q2fi6FtaPs,22-08-2026,22-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-BATCH87,350871.97,,818774.87,,SETTLEMENT
tVeFGRobawevBEY1igo,23-07-2026,23-07-2026,NEFT-SETL-AMAZON RETAIL-439319788521-setl_x41CCSRFBOSXyw-BATCH28,1870.59,,647346.14,439319788521,SETTLEMENT
WhOCgaFjjAN48PE1nN5Y,14-08-2026,14-08-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-356521008436-setl_EA36FDL36yMVn4-BATCH93,1013.93,,398374.32,XZYSYJOF,SETTLEMENT
sHPCRoViebMxv05G9ARnZd,24-07-2026,24-07-2026,UPI-S,583.25,,971452.58,,SETTLEMENT
uJuBLBYGn2XO3Qd3Z,27-07-2026,27-07-2026,IMPS-SETL-BUNDL TECHNOLOGIES-457877558973-setl_5LN6zLg5Fzm49l-BA,388.38,,955429.08,RCPFRVCZ,SETTLEMENT
yY826nx554Bc9aaOVWmYnG,23-07-2026,23-07-2026,IMPS-SETL-INNOVATIVE RETAIL CONCEPTS-378249369293-setl_nDWIRtM2pxcDUV-BATCH17,82.88,,209327.27,MWXZRHSV,SETTLEMENT
S4bc01EmEFCEFSNbZyj,06-08-2026,06-08-2026,IMPS-SETL-MYNTRA DESIGNS-901401420306-setl_IoRNVJUHGfmf7j-BATCH27,14632.09,,217453.38,901401420306,SETTLEMENT
HIpgB7NrKy7CPdlS1,02-08-2026,01-08-2026,NEFT-SETL-CUREFIT HEALTHCARE-293608256148-setl_0NDaaVe2myTYxI-BATCH7,147.96,,604764.95,293608256148,SETTLEMENT
Ulibngcj2aQM3aSKzX7pn,11-08-2026,11-08-2026,UPI-S,4866.19,,106692.66,,SETTLEMENT
9ND72a158uvXG5DUXyzM0,15-08-2026,15-08-2026,IMPS-SETL-ZOMATO LIMITED-285292556880-setl_c9KPRWIC1SH742-BATCH79,193.82,,691894.11,285292556880,SETTLEMENT
nw3LGwZjaLa3J1q29,23-07-2026,23-07-2026,NEFT-SE,486.45,,892952.48,,SETTLEMENT
h5CgFgHeDju1eLt2IDd6yW,10-08-2026,10-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-710072923626-setl_m0O62lz82EdNwU-BATCH71,,1946.45,150763.76,ZVZRLOEI,CHARGEBACK
FthctFHSwGx0zsWpQw1Ni,28-07-2026,28-07-2026,UPI-SETL-THREPSI SOLUTIONS-320431737620-setl_vb6znLflPGUPvA-BATCH46,4557.87,,132783.66,320431737620,SETTLEMENT
RHrNf6j5AIkzZ1Cq4dmN,29-07-2026,29-07-2026,MISC-CREDIT-THRQLXXL,1999.00,,820670.60,,MISC_CREDIT
puHh6LaoJvcPgyl6x7jwJh,09-08-2026,09-08-2026,MISC-CREDIT-IEJLDQBQ,14286.94,,375442.20,,MISC_CREDIT
pti3jRZmUIt394feCXArl,23-07-2026,23-07-2026,UPI-SETL-FLIPKART INTERNET-571278326085-setl_FuDkYknWDZYiSU-BATCH93,12667.67,,603497.69,PRETDMSQ,SETTLEMENT
opOZangyLg3TWJb1B,06-08-2026,06-08-2026,UPI-SETL-AMAZON RETAIL-918021090247-setl_fOQUM8MCjhiw6P-BATCH45,582.15,,627954.36,918021090247,SETTLEMENT
ejhbAEo6LpDA0MGzKXB,22-07-2026,22-07-2026,UPI-SETL-THREPSI SOLUTIONS-818828876556-setl_LfA2Kw5ojO4cDA-BATCH36,167172.00,,679023.86,SZMSXBYJ,SETTLEMENT
JLVBPJSgbskMPjDoRjO,22-07-2026,22-07-2026,IMPS-SETL-URBAN COMPANY-811387225534-setl_a2W7RebN8SY0qc-BATCH70,1940.63,,846222.80,811387225534,SETTLEMENT
IfkEwvJki7EDJ4phx2,13-08-2026,14-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-BATCH16,5831.19,,189279.61,999612504387,SETTLEMENT
5OCugXXXYmPragT8lKQhn,17-08-2026,17-08-2026,UPI-SETL-THREPSI SOLUTIONS-788447946470-setl_S6n3pCN9Fvb1YY-BATCH54,1008.81,,838022.22,788447946470,SETTLEMENT
pcdIa1tzkgA0PUHGEy360J,05-08-2026,05-08-2026,UPI-SETL-MYNTRA DESIGNS-BATCH8,13163.58,,796019.01,HOSHKHOD,SETTLEMENT
j8atIbrPSddQ7WeUyWsHx,22-08-2026,22-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-BATCH69,33.26,,513609.84,995212043505,SETTLEMENT
FfW7FizeHUYBBhaQ9,26-07-2026,27-07-2026,NEFT-SETL-BUNDL TECHNOLOGIES-532182358524-setl_3PWrEgRmXeON0F-BATCH60,163.33,,716038.64,PPLJDSHD,SETTLEMENT
Z64OqXIhy9eMklVNjiJv6G,14-08-2026,14-08-2026,IMPS-SETL-BUNDL TECHNOLOGIES-385285936986-setl_8BDatLn6ZyUFfu-BATCH19,9748.74,,708175.30,FYYIRNGC,SETTLEMENT
237KZ0QMRQeSrdvxdKyV,31-07-2026,31-07-2026,UPI-SETL-MAKEMYTRIP INDIA-30,778.94,,794710.56,303676663656,SETTLEMENT
2WwVfIREy4yBmaOR,22-08-2026,22-08-2026,IMPS-SETL-LENSKART SOLUTIONS-BATCH32,292.39,,937630.20,YESKBDUK,SETTLEMENT
FqKtCxWyacnZ6VehR,07-08-2026,08-08-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-862575581977-setl_L0ER76SzmqfNi2-BATCH65,104.23,,848442.24,862575581977,SETTLEMENT
vauEt9PndOQlAnH32MfK0f,31-07-2026,31-07-2026,UPI-SETL-THREPSI SOLUTIONS-911024877036-setl_yGDm7sjOcSaMvT-BATCH79,120758.81,,530971.27,IJWBUZFV,SETTLEMENT
su0uiHMCE8vPCSwT6b,29-07-2026,29-07-2026,IMPS-SETL-BUNDL TECHNOLOGIES-194129319529-setl_BBH6hMOmzdhxZM-BATCH40,70722.43,,229087.77,BECNRHJA,SETTLEMENT
2JYTpDRezVMHUwpsUwgWvF,08-08-2026,08-08-2026,NEFT-SETL-DELIGHTFUL GOURMET-126130748887-setl_N1t8dcRIkLJeKR-BATCH56,96.73,,863163.95,126130748887,SETTLEMENT
xbvnG5oupwtaP1JadT7I7B,10-08-2026,10-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-667540422067-setl_o06NxyaElpSH3v-BATCH46,775.59,,535162.69,667540422067,SETTLEMENT
bZPihb9kJ6ROP3fm9uY,06-08-2026,05-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-738825744557-setl_dD22yjUTWPvAFi-BATCH11,2883.27,,616057.71,738825744557,SETTLEMENT
OYUXMJEwE6c9od43L0,24-07-2026,25-07-2026,NEFT-SETL-BUNDL TECHNOLOGIES-272234371663-setl_7rsRUhVO6bQ3Vb-BATCH17,1948.11,,927790.55,GRANGKYC,SETTLEMENT
E8Ptupz7UZifEBQTYl,13-08-2026,13-08-2026,UPI-SETL-BIGTREE ENTERTAINMENT-994458145151-setl_e67iH8qVq0CGQk-BATCH46,3095.71,,638483.48,994458145151,SETTLEMENT
Vo09ij64AyJlgip74G,08-08-2026,08-08-2026,UPI-SETL-URBAN COMPANY-642644859252-setl_EzUHbluRnXmdEg-BATCH26,3398.68,,290567.95,GSKQRTRH,SETTLEMENT
RbUV8vvogt45MsF6Q,11-08-2026,11-08-2026,UPI-S,4870.47,,602054.98,,SETTLEMENT
XMvjCeW8TyNAaojLpkMCn,20-08-2026,21-08-2026,NEFT-SETL-FLIPKART INTERNET-387887763983-setl_40dw0BJj6wPvfa-BATCH29,0.13,,461987.63,387887763983,SETTLEMENT
dXRr9iLcXiys7x6SDCaJd,09-08-2026,09-08-2026,UPI-SETL-BUNDL TECHNOLOGIES-162771381342-setl_rtABxNGV4VUjvb-BATCH65,341553.31,,583007.16,DDZTJFFU,SETTLEMENT
ovnpJAkkreZPxhp02DropW,23-07-2026,23-07-2026,IMPS-SET,484.99,,579663.10,,SETTLEMENT
78rmmuJ26FNqmF6UBNCOU,17-08-2026,17-08-2026,UPI-SETL-AMAZON RETAIL-334791872420-setl_Pycp0wFb4LrsJh-BATCH31,29.17,,568230.04,334791872420,SETTLEMENT
ddYf8UlgWXo4OT7vFn0Mx,19-08-2026,20-08-2026,IMPS-SETL-FLIPKART INTERNET-322767571266-setl_nq63QSIh8eX2wO-BATCH13,9728.29,,579193.67,ULVEWECV,SETTLEMENT
545eA5jkse4YoWH5hBcDt2,30-07-2026,30-07-2026,UPI-SETL-BIGTREE ENTERTAINMENT-406107150615-setl_1Rny5ynqvIuaf6-BATCH95,1170.24,,817351.75,406107150615,SETTLEMENT
iT1Y3u5i0Nxqs7zXq0Yj,27-07-2026,27-07-2026,UPI-SETL-Threpsi Solutions Pvt Ltd-261155492246-setl_rKg8nGwlunnsuY-BATCH9,16836.83,,775951.75,261155492246,SETTLEMENT
9brdeknF5vqiR7vGD,16-08-2026,16-08-2026,UPI-SETL-MAKEMYTRIP INDIA-858269494908-setl_XG6Fkn5ZZJixWf-BATCH9,6656.06,,693333.25,858269494908,SETTLEMENT
nQ5xQOou8SAlIAIh,02-08-2026,02-08-2026,NEFT-SETL-LENSKART SOLUTIONS-BATCH78,4868.08,,796100.43,854909203412,SETTLEMENT
6LgRsQ7owAltELG6zRd,20-08-2026,20-08-2026,UPI-SETL-FLIPKART INTERNET-632797203108-setl_XGU41h0BPYMH5Q-BATCH42,728.51,,364472.86,RRPTZFNA,SETTLEMENT
aLUSqmFv1sQrvSB9O,05-08-2026,05-08-2026,IMPS-SETL-MYNTRA DESIGNS-BATCH90,3403.53,,176647.25,433215929961,SETTLEMENT
vo9uotJ5ln4DL0TCblg,02-08-2026,02-08-2026,UPI-SETL-AMAZON RETAIL-463559198047-setl_uWUpURpZWSpBLc-BATCH85,387.49,,530883.19,463559198047,SETTLEMENT
xhKrMtPpDOuP95w9n,04-08-2026,04-08-2026,IMPS-SETL-CUREFIT HEALTHCARE-265877371463-setl_wBVVsZUjxXJ4si-BATCH69,291.26,,387089.17,SYZNQASY,SETTLEMENT
Pa9TbQ7NQ12qeMLc4ovzVf,09-08-2026,09-08-2026,UPI-SETL-ZOMATO LIMITED-394927881305-setl_PePUnTwHUVgflT-BATCH25,1496.63,,384750.89,394927881305,SETTLEMENT
rqr9CZQV3Z79FMZc,04-08-2026,04-08-2026,NEFT-SETL-ZOMATO LIMITED-533587388264-setl_L4vTMAO3HmoJ4F-BATCH2,346.06,,232586.44,XIVMZSAK,SETTLEMENT
zhvcpuBw52KU0d6K,26-07-2026,26-07-2026,IMPS-SETL-BUNDL TECHNOLOGIES-693044202138-setl_ewF6m1PLNKgU6L-BATCH95,59687.36,,362350.82,693044202138,SETTLEMENT
Wokam9PpX3jWMdjjLCv,25-07-2026,25-07-2026,NEFT-SETL-DELIGHTFUL GOURMET-973579095375-setl_PF9fDnOrpALs5w-BATCH67,9419.18,,650001.33,973579095375,SETTLEMENT
9KoTYljCJuwr31xt5Ftwy5,08-08-2026,08-08-2026,UPI-SETL-CUREFIT HEALTHCARE-795704007216-setl_ykLa9CKYRnEHdW-BATCH79,561.94,,389319.71,795704007216,SETTLEMENT
0PJzNmgO1FJwo6DLI,15-08-2026,15-08-2026,NEFT-SETL-BUNDL TECHNOLOGIES-419277346902-setl_Ed0YIObdaweyaE-BATCH5,974.63,,655785.14,419277346902,SETTLEMENT
9pTIA2Sk6REiqpL9AzLAuw,12-08-2026,12-08-2026,UPI-SETL-FLIPKART INTERNET-382095585932-setl_1O0AcsWeRCumsy-BATCH56,242.41,,741893.76,382095585932,SETTLEMENT
eWYJP2Ww7Wg9bHN7oD,21-08-2026,21-08-2026,NEFT-SETL-FLIPKART INTERNET-387887763983-setl_40dw0BJj6wPvfa-BATCH29,298.47,,461987.63,387887763983,SETTLEMENT
elPPL8edYPBUmADP,26-07-2026,26-07-2026,NEFT-SETL-LENSKART SOLUTIONS-348811594441-setl_V1zGCojs2bPDwN-BATCH72,208982.50,,382944.85,QDUHEAVR,SETTLEMENT
G9WstoIV0bMdb4YHPM8M,12-08-2026,12-08-2026,UPI-SETL-FLIPKART INTERNET-640171643868-setl_4t6JVq5G65mCaT-BATCH74,193.59,,840111.01,640171643868,SETTLEMENT
ndN5TDMVrXjq6OpIt0O,28-07-2026,28-07-2026,IMPS-SETL-CUREFIT HEALTHCARE-393492899571-setl_wIPyYqfViH2EV9-BATCH94,144.75,,806395.45,393492899571,SETTLEMENT
OKoLd9PDssMJIgNoQDKkY7,09-08-2026,09-08-2026,NEFT-SETL-MYNTRA DESIGNS-137856287744-setl_wELMaHccTjKCFX-BATCH94,111.50,,944154.99,137856287744,SETTLEMENT
R6Is8ctz3R9I3giubFu,18-08-2026,18-08-2026,UPI-SETL-URBAN COMPANY-789767212356-setl_BBU6w3d71lwyaA-BATCH25,,5280.95,785329.45,LKURPFIJ,CHARGEBACK
pDcI0B4b36roWHC87tJq,26-07-2026,26-07-2026,NEFT-SETL-FSN E-COMMERCE-806432116562-setl_a683FF0l5Dzmwy-BATCH18,3409.30,,389618.17,806432116562,SETTLEMENT
pm8R7buEizzocwhaO,24-07-2026,24-07-2026,UPI-S,581.64,,843530.92,,SETTLEMENT
h5WNc4FzUzD86FU2,13-08-2026,13-08-2026,UPI-SETL-INNOVATIVE RETAIL CONCEPTS-966746996712-setl_U9983UqjNtAG6x-BATCH70,820.61,,278950.89,VCYIKKOM,SETTLEMENT
MJnGb4doZkfBcrnR3takC,12-08-2026,12-08-2026,UPI-SETL-MAKEMYTRIP INDIA-BATCH88,9751.48,,487995.77,749715312977,SETTLEMENT
TH5cQ2KVZOM9DE6l,13-08-2026,13-08-2026,IMPS-SETL-MYNTRA DESIGNS-533049832245-setl_QXFHDIBw8ivwdf-BATCH45,37.07,,406974.96,LRJCDCTX,SETTLEMENT
7K2OLgBKQAtUSmqMUE,19-08-2026,19-08-2026,NEFT-SETL-URBAN COMPANY-335038283125-setl_3AKjKQTZcXEvt2-BATCH71,8495.02,,266871.92,335038283125,SETTLEMENT
jFipq6fE8xW2W9I1,10-08-2026,10-08-2026,IMPS-SETL-URBAN COMPANY-BATCH75,582.03,,973279.69,MLAEZOHE,SETTLEMENT
Tpf9zZlK1fKf9B5MaAPa6T,15-08-2026,15-08-2026,NEFT-SETL-CUREFIT HEALTHCARE-981556321425-setl_xmULavXQtNNo48-BATCH63,1454.82,,901725.37,UYOKDGET,SETTLEMENT
gUhdVbccKaxB7RVgOdCK,05-08-2026,05-08-2026,IMPS-SETL-BUNDL TECHNOLOGIES-347961038898-setl_RuBnbqXqwWZyr4-BATCH37,5841.91,,115857.11,RYLSWYIP,SETTLEMENT
As1dISZeg0lqV2pG,13-08-2026,13-08-2026,NEFT-SETL-FSN E-COMMERCE-133718802908-setl_h4PiuAlXJNBWhl-BATCH93,,377.68,267108.34,WCQSEKVO,CHARGEBACK
XC5fGwBhPTeoAKEimV,18-08-2026,17-08-2026,UPI-SETL-THREPSI SOLUTIONS-788447946470-setl_S6n3pCN9Fvb1YY-BATCH54,10.21,,838022.22,788447946470,SETTLEMENT
75psv5r2vGd8IpwVE,08-08-2026,08-08-2026,NEFT-SETL-AMAZON RETAIL-310659490318-setl_dBxvTP22nHX9tM-BATCH48,5840.72,,960513.20,310659490318,SETTLEMENT
e22oKekYLA2CX1ba,06-08-2026,06-08-2026,UPI-SETL-DELIGHTFUL GOURMET-BATCH15,241670.87,,557018.23,,SETTLEMENT
GlSw8Tc8nXMuziC0Ou,25-07-2026,25-07-2026,NEFT-SETL-LENSKART SOLUTIONS-275992688573-setl_eksra9NaXOZ,583.53,,942572.34,HTFXGBOO,SETTLEMENT
9xdktfSNkmVYY3KL,07-08-2026,07-08-2026,UPI-SETL-INNOVATIVE RETAIL CONCEPTS-230435021541-setl_sGe5bvcwNMHlo4-BATCH13,11032.31,,623557.49,OKZKUQWR,SETTLEMENT
TcPNWHirmk29VYRLH,19-08-2026,19-08-2026,UPI-SETL-THREPSI SOLUTIONS-995182479636-setl_4gXyta39SNsEqN-BATCH55,3885.91,,630733.44,995182479636,SETTLEMENT
78Rp0Gf1JeGoXOcT,15-08-2026,16-08-2026,NEFT-SETL-CUREFIT HEALTHCARE-BATCH8,1453.12,,864551.37,141176310264,SETTLEMENT
CDeHczqMLSLFsVPczpV0U,24-07-2026,24-07-2026,UPI-SETL-FLIPKART INTERNET-181500487047-setl_HH4X1VbgoQrGpu-BATCH41,680.02,,440835.26,181500487047,SETTLEMENT
23iz2VoY7AB5XtqdGUy,11-08-2026,11-08-2026,NEFT-SETL-URBANCLAP-107017293172-setl_fFSw0ywdkjCj5P-BATCH11,66.53,,680150.98,KTSSEWHC,SETTLEMENT
dh3T5hPNLL2qadR3PJ,05-08-2026,05-08-2026,IMPS-SETL-MYNTRA DESIGNS-713566456437-setl_uaFYXacZY4EYE4-BATCH76,141.31,,888437.14,IIGBYYAN,SETTLEMENT
q9LGMawvNs4pbNXoc8lY7C,15-08-2026,15-08-2026,IMPS-SETL-MYNTRA DESIGNS-757105261224-setl_tJEGMDjO9Q2bHJ-BATCH23,12625.30,,750578.12,757105261224,SETTLEMENT
WTyPTOCJ4w7MIXMIH1VsM,03-08-2026,04-08-2026,UPI-SETL-THREPSI SOLUTIONS-362934944776-setl_zy63eZqVdChx8c-BATCH27,20.95,,189696.87,362934944776,SETTLEMENT
HbIbSlHZrJDAnTOW7ZA,04-08-2026,05-08-2026,UPI-SETL-THREPSI SOLUTIONS-502894705279-setl_pICZmf6wY3v0kz-BATCH89,7293.48,,949074.57,EBRTDPSK,SETTLEMENT
N9nYPQ918X30yz1vA,27-07-2026,28-07-2026,IMPS-SETL-AMAZON RETAIL-806048283190-setl_taZQevpfGTMbFO-BATCH25,2485.86,,885817.15,PHWBKOVG,SETTLEMENT
eOTYO2OfWq3ENN5Qen,27-07-2026,27-07-2026,UPI-SETL-FSN E-COMMERCE-709053295033-setl_K1ALxziIArcw7n-BATCH25,193.41,,184005.01,URNERIMU,SETTLEMENT
0xxNiX9VTjVMHPrrTvKn,07-08-2026,07-08-2026,NEFT-SETL-FSN E-COMMERCE-603248545671-setl_2ENRXISQ6sZ8hU-BATCH37,213.42,,207225.68,603248545671,SETTLEMENT
JYW0nQs389GDm3b6rU,03-08-2026,04-08-2026,UPI-SETL-LENSKART SOLUTIONS-475848531178-setl_trVz5vDz7xMfwh-BATCH74,,1619.35,941497.84,IOXNESGU,CHARGEBACK
i14UzgLeDun9bkn1Hq,19-08-2026,19-08-2026,NEFT-SETL-FSN E-COMMERCE-148788002620-setl_Pg5VY7Mjt0GiiX-BATCH34,162.26,,362639.66,148788002620,SETTLEMENT
5FXEOA6mKbRUoOXFnUexK2,22-07-2026,22-07-2026,NEFT-SETL-CUREFIT HEALTHCARE-244210233448-setl_5E4VC68YTQfgSW-BATCH21,159.37,,520153.30,EGNISDBZ,SETTLEMENT
fzMDqM4hiBFKDNFuVSXIo,21-08-2026,21-08-2026,NEFT-SETL-FLIPKART INTERNET-387887763983-setl_40dw0BJj6wPvfa-BATCH29,29.05,,461987.63,387887763983,SETTLEMENT
UKYHXd0n5lO19kpTTCcDU9,30-07-2026,30-07-2026,NEFT-SETL-URBAN COMPANY-858044598306-setl_K2Acm9T3AYfdSm-BATCH95,1754.51,,811365.41,858044598306,SETTLEMENT
ZVMoeh1F6UAYRkuR8,26-07-2026,26-07-2026,UPI-SETL-Lenskart Solutions Pvt Ltd-211812208974-setl_L4EonxKG0aXvLF-BATCH23,484.40,,119445.19,211812208974,SETTLEMENT
ydac9cQ18n68RZLdaMQm8,21-08-2026,21-08-2026,IMPS-SETL-BIGTREE ENTERTAINMENT-811300502795-setl_3AISqZkPwifhuz-BATCH54,2425.73,,422748.50,BNUGFUBE,SETTLEMENT
